"subject_id","stimulus","color_scale","color_scale_c1","color_scale_c2","cluster","spatial_config","spatial_config_c","background","background_c","granularity","granularity_c","key_press","left_darkness","response_darker"
20028,"blshift_cont_viridis_black_L_3","viridis",2.04185999210683,-0.226180576073917,"spiral","black_shift",-1,"black",-1,"continuous",1,1,1,0
20146,"blshift_cont_magma_white_L_4","magma",-0.489730442981136,0.915408000803096,"blackwhite","black_shift",-1,"white",1,"continuous",1,-1,1,1
20326,"blshift_cont_mako_white_R_3","mako",-0.489730442981136,0.915408000803096,"blackwhite","black_shift",-1,"white",1,"continuous",1,-1,-1,0
20602,"blshift_cont_winter_black_L_5","winter",-0.489730442981136,0.915408000803096,"blackwhite","black_shift",-1,"black",-1,"continuous",1,1,1,0
20643,"blshift_cont_gray_white_L_3","gray",-0.489730442981136,0.915408000803096,"blackwhite","black_shift",-1,"white",1,"continuous",1,-1,1,1
20654,"blshift_cont_winter_black_R_4","winter",-0.489730442981136,0.915408000803096,"blackwhite","black_shift",-1,"black",-1,"continuous",1,1,-1,1
20667,"blshift_cont_plasma_white_R_4","plasma",2.04185999210683,-0.226180576073917,"spiral","black_shift",-1,"white",1,"continuous",1,-1,-1,0
20683,"blshift_cont_plasma_white_L_5","plasma",2.04185999210683,-0.226180576073917,"spiral","black_shift",-1,"white",1,"continuous",1,-1,1,1
20686,"blshift_cont_gray_black_L_3","gray",-0.489730442981136,0.915408000803096,"blackwhite","black_shift",-1,"black",-1,"continuous",1,-1,1,1
20735,"blshift_cont_mako_white_R_1","mako",-0.489730442981136,0.915408000803096,"blackwhite","black_shift",-1,"white",1,"continuous",1,1,-1,1
20744,"blshift_cont_magma_black_L_2","magma",-0.489730442981136,0.915408000803096,"blackwhite","black_shift",-1,"black",-1,"continuous",1,1,1,0
20865,"blshift_cont_mako_white_L_1","mako",-0.489730442981136,0.915408000803096,"blackwhite","black_shift",-1,"white",1,"continuous",1,-1,1,1
20900,"blshift_cont_hot_white_R_5","hot",-0.489730442981136,0.915408000803096,"blackwhite","black_shift",-1,"white",1,"continuous",1,1,-1,1
20932,"blshift_cont_mako_white_R_3","mako",-0.489730442981136,0.915408000803096,"blackwhite","black_shift",-1,"white",1,"continuous",1,1,-1,1
21035,"blshift_cont_hot_white_L_1","hot",-0.489730442981136,0.915408000803096,"blackwhite","black_shift",-1,"white",1,"continuous",1,1,1,0
21314,"blshift_cont_gray_white_R_2","gray",-0.489730442981136,0.915408000803096,"blackwhite","black_shift",-1,"white",1,"continuous",1,1,-1,1
21352,"blshift_cont_viridis_white_L_5","viridis",2.04185999210683,-0.226180576073917,"spiral","black_shift",-1,"white",1,"continuous",1,-1,1,1
21376,"blshift_cont_autumn_black_R_1","autumn",-0.489730442981136,-1.36776915295093,"mono","black_shift",-1,"black",-1,"continuous",1,1,-1,1
21381,"blshift_cont_magma_white_R_3","magma",-0.489730442981136,0.915408000803096,"blackwhite","black_shift",-1,"white",1,"continuous",1,-1,-1,0
21386,"blshift_cont_plasma_white_L_2","plasma",2.04185999210683,-0.226180576073917,"spiral","black_shift",-1,"white",1,"continuous",1,-1,1,1
21412,"blshift_cont_brewerBlue_white_R_4","brewerBlue",-0.489730442981136,-1.36776915295093,"mono","black_shift",-1,"white",1,"continuous",1,1,-1,1
21418,"blshift_cont_brewerRed_white_R_2","brewerRed",-0.489730442981136,-1.36776915295093,"mono","black_shift",-1,"white",1,"continuous",1,1,-1,1
21481,"blshift_cont_brewerRed_white_L_1","brewerRed",-0.489730442981136,-1.36776915295093,"mono","black_shift",-1,"white",1,"continuous",1,-1,1,1
21487,"blshift_cont_plasma_white_R_1","plasma",2.04185999210683,-0.226180576073917,"spiral","black_shift",-1,"white",1,"continuous",1,1,-1,1
21806,"blshift_cont_autumn_white_R_2","autumn",-0.489730442981136,-1.36776915295093,"mono","black_shift",-1,"white",1,"continuous",1,1,-1,1
21874,"blshift_cont_brewerRed_white_L_1","brewerRed",-0.489730442981136,-1.36776915295093,"mono","black_shift",-1,"white",1,"continuous",1,-1,1,1
